time	W	Freq	Temp
1615072351.63	6.313	1500000	70.0	
1615072351.83	6.313	1400000	70.0	
1615072352.03	6.313	1300000	69.0	
1615072352.23	6.313	1400000	69.0	
1615072352.43	6.313	1500000	70.0	
1615072352.63	6.313	1400000	70.0	
1615072352.83	6.313	1300000	69.0	
1615072353.03	6.313	1400000	69.0	
1615072353.23	6.313	1500000	70.0	
1615072353.43	6.313	1400000	70.0	
1615072353.63	6.313	1300000	70.0	
1615072353.83	6.748	1400000	69.0	
1615072354.03	6.748	1500000	70.0	
1615072354.23	6.748	1400000	70.0	
1615072354.43	6.737	1300000	70.0	
1615072354.63	6.737	1400000	69.0	
1615072354.83	6.13	1300000	69.0	
1615072355.03	6.13	1400000	69.0	
1615072355.24	6.13	1500000	70.0	
1615072355.44	6.13	1400000	70.0	
1615072355.64	6.13	1300000	70.0	
1615072355.84	6.763	1400000	69.0	
1615072356.04	6.763	1500000	70.0	
1615072356.24	6.763	1400000	70.0	
1615072356.44	6.763	1300000	70.0	
1615072356.64	6.763	1400000	69.0	
1615072356.84	6.351	1300000	69.0	
1615072357.04	6.351	1400000	69.0	
1615072357.24	6.351	1500000	70.0	
1615072357.44	6.351	1400000	70.0	
1615072357.64	6.351	1300000	70.0	
1615072357.84	6.638	1400000	69.0	
1615072358.04	6.638	1300000	69.0	
1615072358.24	6.638	1400000	69.0	
1615072358.44	6.638	1500000	70.0	
1615072358.64	6.638	1400000	70.0	
1615072358.84	6.71	1300000	70.0	
1615072359.04	6.71	1400000	69.0	
1615072359.24	6.71	1300000	69.0	
1615072359.44	6.71	1400000	69.0	
1615072359.64	6.71	1300000	69.0	
1615072359.84	6.092	1400000	69.0	
1615072360.05	6.092	1300000	69.0	
1615072360.25	6.092	1400000	69.0	
1615072360.45	6.092	1500000	70.0	
1615072360.65	6.092	1400000	70.0	
1615072360.85	6.092	1300000	70.0	
1615072361.05	6.55	1400000	69.0	
1615072361.25	6.55	1300000	69.0	
1615072361.45	6.55	1400000	69.0	
1615072361.65	6.55	1500000	70.0	
1615072361.85	6.29	1400000	70.0	
1615072362.05	6.29	1300000	70.0	
1615072362.25	6.29	1400000	70.0	
1615072362.45	6.29	1300000	69.0	
1615072362.65	6.29	1400000	69.0	
1615072362.85	6.294	1300000	69.0	
1615072363.05	6.294	1400000	69.0	
1615072363.25	6.294	1500000	70.0	
1615072363.45	6.294	1400000	70.0	
1615072363.65	6.294	1300000	70.0	
1615072363.85	6.775	1400000	69.0	
1615072364.05	6.775	1300000	69.0	
1615072364.25	6.775	1400000	69.0	
1615072364.45	6.775	1300000	69.0	
1615072364.65	6.775	1400000	69.0	
1615072364.85	6.26	1300000	69.0	
1615072365.06	6.26	1400000	69.0	
1615072365.26	6.26	1300000	69.0	
1615072365.46	6.26	1400000	69.0	
1615072365.66	6.26	1300000	69.0	
1615072365.86	6.351	1400000	69.0	
1615072366.06	6.351	1300000	69.0	
1615072366.26	6.351	1400000	69.0	
1615072366.46	6.351	1500000	70.0	
1615072366.66	6.351	1400000	70.0	
1615072366.86	6.332	1300000	70.0	
1615072367.06	6.332	1400000	69.0	
1615072367.26	6.332	1300000	70.0	
1615072367.46	6.332	1400000	69.0	
1615072367.66	6.332	1300000	69.0	
1615072367.86	6.138	1400000	69.0	
1615072368.06	6.138	1300000	69.0	
1615072368.26	6.138	1400000	69.0	
1615072368.46	6.138	1300000	69.0	
1615072368.66	6.138	1400000	69.0	
1615072368.86	6.229	1300000	69.0	
1615072369.06	6.229	1400000	69.0	
1615072369.26	6.229	1300000	69.0	
1615072369.46	6.229	1400000	69.0	
1615072369.66	6.229	1300000	69.0	
1615072369.87	6.229	1400000	69.0	
1615072370.07	6.229	1300000	70.0	
1615072370.27	6.229	1400000	69.0	
1615072370.47	6.221	1300000	69.0	
1615072370.67	6.221	1400000	69.0	
1615072370.87	6.374	1300000	69.0	
1615072371.07	6.374	1400000	69.0	
1615072371.27	6.374	1300000	69.0	
1615072371.47	6.374	1400000	69.0	
1615072371.67	6.374	1300000	69.0	
1615072371.87	6.244	1400000	69.0	
1615072372.07	6.244	1300000	70.0	
1615072372.27	6.244	1400000	69.0	
1615072372.47	6.244	1300000	70.0	
1615072372.67	6.244	1400000	69.0	
1615072372.87	6.115	1300000	69.0	
1615072373.07	6.115	1400000	69.0	
1615072373.27	6.115	1300000	70.0	
1615072373.47	6.115	1400000	69.0	
1615072373.67	6.115	1300000	70.0	
1615072373.87	6.157	1400000	69.0	
1615072374.07	6.157	1300000	69.0	
1615072374.27	6.157	1400000	69.0	
1615072374.48	6.157	1300000	70.0	
1615072374.68	6.157	1400000	69.0	
1615072374.88	6.157	1300000	70.0	
1615072375.08	6.321	1400000	69.0	
1615072375.28	6.321	1300000	70.0	
1615072375.48	6.321	1400000	69.0	
1615072375.68	6.321	1500000	70.0	
1615072375.88	6.168	1400000	71.0	
1615072376.08	6.168	1300000	70.0	
1615072376.28	6.168	1200000	69.0	
1615072376.48	6.168	1300000	69.0	
1615072376.68	6.168	1400000	69.0	
1615072376.88	5.985	1300000	70.0	
1615072377.08	5.985	1400000	69.0	
1615072377.28	5.985	1300000	70.0	
1615072377.48	5.985	1400000	69.0	
1615072377.68	5.985	1300000	70.0	
1615072377.88	6.145	1400000	69.0	
1615072378.08	6.145	1300000	70.0	
1615072378.28	6.145	1400000	69.0	
1615072378.48	6.145	1300000	70.0	
1615072378.68	6.145	1400000	69.0	
1615072378.88	6.305	1300000	70.0	
1615072379.09	6.305	1400000	69.0	
1615072379.29	6.305	1300000	70.0	
1615072379.49	6.305	1400000	70.0	
1615072379.69	6.305	1300000	70.0	
1615072379.89	6.309	1400000	70.0	
1615072380.09	6.309	1300000	70.0	
1615072380.29	6.309	1400000	69.0	
1615072380.49	6.309	1300000	70.0	
1615072380.69	6.309	1400000	69.0	
1615072380.89	6.309	1300000	70.0	
1615072381.09	6.309	1400000	69.0	
1615072381.29	6.309	1300000	70.0	
1615072381.49	6.309	1400000	70.0	
1615072381.69	6.305	1300000	70.0	
1615072381.89	6.305	1400000	70.0	
1615072382.09	6.195	1300000	70.0	
1615072382.29	6.195	1400000	70.0	
1615072382.49	6.195	1300000	70.0	
1615072382.69	6.195	1400000	70.0	
1615072382.89	6.271	1300000	70.0	
1615072383.09	6.271	1400000	70.0	
1615072383.29	6.271	1300000	70.0	
1615072383.49	6.271	1400000	70.0	
1615072383.69	6.271	1300000	70.0	
1615072383.9	6.336	1400000	70.0	
