time	W	Freq	Temp
1615070912.05	6.157	1400000	70.0	
1615070912.25	6.157	1300000	69.0	
1615070912.45	6.157	1400000	70.0	
1615070912.65	6.157	1300000	70.0	
1615070912.85	6.157	1400000	70.0	
1615070913.05	6.157	1300000	70.0	
1615070913.25	6.157	1400000	70.0	
1615070913.45	5.802	1300000	70.0	
1615070913.65	5.802	1200000	69.0	
1615070913.85	5.802	1300000	69.0	
1615070914.05	5.802	1400000	70.0	
1615070914.25	5.802	1300000	70.0	
1615070914.45	5.962	1200000	69.0	
1615070914.65	5.962	1300000	69.0	
1615070914.86	6.034	1400000	70.0	
1615070915.06	6.034	1300000	69.0	
1615070915.26	6.034	1400000	70.0	
1615070915.46	6.034	1300000	70.0	
1615070915.66	6.034	1400000	70.0	
1615070915.86	6.294	1300000	70.0	
1615070916.06	6.294	1400000	70.0	
1615070916.26	6.294	1300000	70.0	
1615070916.46	6.294	1200000	69.0	
1615070916.66	6.294	1300000	69.0	
1615070916.86	5.897	1400000	70.0	
1615070917.06	5.897	1300000	69.0	
1615070917.26	5.897	1400000	70.0	
1615070917.46	5.897	1300000	69.0	
1615070917.66	5.897	1200000	69.0	
1615070917.86	6.37	1300000	69.0	
1615070918.06	6.37	1400000	69.0	
1615070918.26	6.37	1300000	70.0	
1615070918.46	6.37	1400000	70.0	
1615070918.66	6.37	1300000	70.0	
1615070918.86	6.447	1200000	69.0	
1615070919.06	6.447	1300000	69.0	
1615070919.26	6.447	1400000	70.0	
1615070919.46	6.447	1300000	70.0	
1615070919.67	6.447	1400000	70.0	
1615070919.87	5.989	1300000	70.0	
1615070920.07	5.989	1200000	69.0	
1615070920.27	5.989	1300000	69.0	
1615070920.47	5.989	1400000	70.0	
1615070920.67	5.989	1300000	70.0	
1615070920.87	6.382	1400000	70.0	
1615070921.07	6.382	1300000	70.0	
1615070921.27	6.382	1200000	69.0	
1615070921.47	6.382	1300000	69.0	
1615070921.67	6.382	1400000	70.0	
1615070921.87	5.981	1500000	71.0	
1615070922.07	5.981	1400000	71.0	
1615070922.27	5.981	1300000	70.0	
1615070922.47	5.981	1200000	69.0	
1615070922.67	5.981	1300000	69.0	
1615070922.87	5.775	1400000	70.0	
1615070923.07	5.775	1300000	70.0	
1615070923.27	5.775	1400000	70.0	
1615070923.47	5.775	1300000	70.0	
1615070923.67	5.775	1200000	69.0	
1615070923.87	5.954	1300000	69.0	
1615070924.07	5.954	1400000	70.0	
1615070924.27	5.954	1300000	70.0	
1615070924.48	5.954	1400000	70.0	
1615070924.68	5.954	1300000	70.0	
1615070924.88	6.42	1200000	69.0	
1615070925.08	6.42	1300000	69.0	
1615070925.28	6.42	1400000	70.0	
1615070925.48	6.42	1300000	70.0	
1615070925.68	6.466	1400000	70.0	
1615070925.88	6.466	1300000	70.0	
1615070926.08	6.466	1200000	69.0	
1615070926.28	6.466	1300000	69.0	
1615070926.48	6.466	1400000	70.0	
1615070926.68	6.466	1300000	70.0	
1615070926.88	6.5	1400000	70.0	
1615070927.08	6.5	1300000	70.0	
1615070927.28	6.5	1400000	70.0	
1615070927.48	6.5	1300000	70.0	
1615070927.68	6.5	1200000	69.0	
1615070927.88	6.084	1300000	69.0	
1615070928.08	6.084	1400000	70.0	
1615070928.28	6.084	1300000	70.0	
1615070928.48	6.084	1200000	69.0	
1615070928.68	6.084	1300000	69.0	
1615070928.88	5.981	1400000	70.0	
1615070929.09	5.981	1300000	69.0	
1615070929.29	5.981	1400000	70.0	
1615070929.49	5.981	1300000	70.0	
1615070929.69	6.328	1200000	69.0	
1615070929.89	6.328	1300000	69.0	
1615070930.09	6.328	1400000	70.0	
1615070930.29	6.328	1300000	69.0	
1615070930.49	6.328	1200000	69.0	
1615070930.69	6.328	1300000	69.0	
1615070930.89	5.599	1400000	70.0	
1615070931.09	5.599	1300000	69.0	
1615070931.29	5.599	1400000	70.0	
1615070931.49	5.599	1300000	70.0	
1615070931.69	5.599	1200000	69.0	
1615070931.89	6.615	1300000	69.0	
1615070932.09	6.615	1400000	70.0	
1615070932.29	6.615	1300000	70.0	
1615070932.49	6.615	1200000	69.0	
1615070932.69	6.615	1300000	69.0	
1615070932.89	5.92	1400000	70.0	
