time	W	Freq	Temp
1614991254.1	8.531	1700000	83.0	
1614991254.3	8.531	1700000	85.0	
1614991254.5	8.531	1700000	85.0	
1614991254.7	8.531	1700000	83.0	
1614991254.9	8.531	1800000	86.0	
1614991255.1	7.897	1600000	84.0	
1614991255.3	7.897	1700000	83.0	
1614991255.5	7.897	1700000	84.0	
1614991255.7	7.897	1700000	85.0	
1614991255.9	7.897	1700000	83.0	
1614991256.1	8.897	1700000	85.0	
1614991256.3	8.897	1700000	85.0	
1614991256.51	8.897	1700000	84.0	
1614991256.71	8.897	1800000	86.0	
1614991256.91	8.897	1700000	84.0	
1614991257.11	8.97	1800000	85.0	
1614991257.31	8.97	1700000	86.0	
1614991257.51	8.97	1600000	82.0	
1614991257.71	8.97	1700000	83.0	
1614991257.91	7.817	1700000	84.0	
1614991258.11	7.817	1700000	82.0	
1614991258.31	7.817	1800000	86.0	
1614991258.51	7.817	1700000	86.0	
1614991258.71	7.817	1800000	84.0	
1614991258.91	8.599	1600000	85.0	
1614991259.11	8.599	1600000	84.0	
1614991259.31	8.599	1700000	83.0	
1614991259.51	8.599	1700000	85.0	
1614991259.71	8.599	1600000	85.0	
1614991259.91	8.599	1600000	82.0	
1614991260.11	8.741	1700000	84.0	
1614991260.31	8.741	1700000	85.0	
1614991260.51	8.741	1800000	84.0	
1614991260.71	8.741	1600000	85.0	
1614991260.91	8.741	1600000	84.0	
1614991261.11	9.63	1700000	83.0	
1614991261.32	9.63	1700000	84.0	
1614991261.52	9.63	1600000	84.0	
1614991261.72	9.63	1600000	82.0	
1614991261.92	7.599	1700000	84.0	
1614991262.12	7.599	1600000	84.0	
1614991262.32	7.599	1700000	82.0	
1614991262.52	7.599	1700000	84.0	
1614991262.72	7.599	1700000	85.0	
1614991262.92	7.599	1600000	81.0	
1614991263.12	8.973	1700000	84.0	
1614991263.32	8.973	1600000	84.0	
1614991263.52	8.973	1600000	81.0	
1614991263.72	8.973	1700000	84.0	
1614991263.92	7.752	1700000	85.0	
1614991264.12	7.752	1700000	83.0	
1614991264.32	7.752	1800000	85.0	
1614991264.52	7.752	1700000	85.0	
1614991264.72	7.752	1700000	83.0	
1614991264.92	7.752	1800000	85.0	
1614991265.12	8.504	1600000	86.0	
1614991265.32	8.504	1600000	83.0	
1614991265.52	8.504	1700000	84.0	
1614991265.72	8.504	1600000	84.0	
1614991265.92	8.397	1700000	84.0	
1614991266.12	8.397	1700000	83.0	
1614991266.32	8.397	1700000	85.0	
1614991266.53	8.397	1600000	84.0	
1614991266.73	8.397	1700000	82.0	
1614991266.93	7.66	1700000	84.0	
1614991267.13	7.66	1600000	84.0	
1614991267.33	7.66	1700000	83.0	
1614991267.53	7.66	1700000	84.0	
1614991267.73	7.66	1700000	85.0	
1614991267.93	7.66	1600000	82.0	
1614991268.13	8.909	1700000	84.0	
1614991268.33	8.909	1700000	84.0	
1614991268.53	8.909	1700000	83.0	
1614991268.73	8.909	1800000	85.0	
1614991268.93	8.909	1700000	86.0	
1614991269.13	9.244	1800000	84.0	
1614991269.33	9.244	1800000	87.0	
1614991269.53	9.244	1600000	85.0	
1614991269.73	9.244	1700000	82.0	
1614991269.93	8.573	1700000	85.0	
1614991270.13	8.573	1600000	85.0	
1614991270.33	8.573	1600000	81.0	
1614991270.53	8.573	1700000	84.0	
1614991270.73	8.573	1600000	84.0	
1614991270.93	8.66	1700000	82.0	
1614991271.14	8.66	1700000	84.0	
1614991271.34	8.66	1700000	85.0	
1614991271.54	8.66	1600000	83.0	
1614991271.74	8.66	1700000	84.0	
1614991271.94	7.699	1600000	84.0	
1614991272.14	7.699	1600000	84.0	
1614991272.34	7.699	1700000	84.0	
1614991272.54	7.699	1700000	85.0	
1614991272.74	7.699	1600000	85.0	
1614991272.94	8.08	1600000	82.0	
1614991273.14	8.08	1700000	84.0	
1614991273.34	8.08	1700000	85.0	
1614991273.54	8.08	1700000	84.0	
1614991273.74	8.08	1600000	85.0	
1614991273.94	8.08	1600000	84.0	
1614991274.14	7.993	1700000	83.0	
1614991274.34	7.993	1700000	84.0	
1614991274.54	7.993	1700000	85.0	
1614991274.74	7.993	1700000	84.0	
1614991274.94	7.993	1700000	85.0	
1614991275.14	7.916	1600000	84.0	
1614991275.34	7.916	1700000	83.0	
1614991275.54	7.916	1700000	84.0	
1614991275.74	7.916	1600000	84.0	
1614991275.95	8.515	1700000	83.0	
1614991276.15	8.515	1700000	84.0	
1614991276.35	8.515	1700000	85.0	
1614991276.55	8.515	1600000	83.0	
1614991276.75	8.515	1700000	84.0	
1614991276.95	8.515	1700000	85.0	
1614991277.15	8.515	1800000	84.0	
1614991277.35	7.47	1700000	85.0	
1614991277.55	7.47	1600000	83.0	
1614991277.75	7.47	1700000	84.0	
1614991277.95	7.206	1600000	84.0	
1614991278.15	7.206	1600000	82.0	
1614991278.35	7.206	1700000	84.0	
1614991278.55	7.206	1600000	84.0	
1614991278.75	7.206	1600000	81.0	
1614991278.95	7.206	1700000	83.0	
1614991279.15	7.431	1700000	84.0	
1614991279.35	7.431	1700000	82.0	
1614991279.55	7.431	1700000	84.0	
1614991279.75	7.431	1700000	85.0	
1614991279.95	8.809	1600000	82.0	
1614991280.15	8.809	1700000	84.0	
1614991280.35	8.809	1600000	84.0	
1614991280.55	8.809	1600000	82.0	
1614991280.75	8.809	1700000	84.0	
1614991280.95	7.466	1700000	85.0	
1614991281.16	7.466	1700000	84.0	
1614991281.36	7.466	1600000	85.0	
1614991281.56	7.466	1600000	82.0	
1614991281.76	7.466	1700000	84.0	
1614991281.96	7.466	1700000	84.0	
1614991282.16	7.359	1800000	82.0	
1614991282.36	7.359	1800000	85.0	
1614991282.56	7.359	1600000	84.0	
1614991282.76	7.359	1700000	82.0	
1614991282.96	7.305	1700000	84.0	
1614991283.16	7.305	1600000	85.0	
